2010,1,1,1,1,1,1
2012,1.030225,1.030225,1.030225,1.030225,1.030225,1.030225
2014,1.061364,1.061364,1.061364,1.061364,1.061364,1.061364
2016,1.093443,1.093443,1.093443,1.093443,1.093443,1.093443
2018,1.126493,1.126493,1.126493,1.126493,1.126493,1.126493
2020,1.149135,1.149135,1.149135,1.149135,1.149135,1.149135
2022,1.172233,1.172233,1.172233,1.172233,1.172233,1.172233
2024,1.195795,1.195795,1.195795,1.195795,1.195795,1.195795
2026,1.21983,1.21983,1.21983,1.21983,1.21983,1.21983
2028,1.244349,1.244349,1.244349,1.244349,1.244349,1.244349
2030,1.256823,1.256823,1.256823,1.256823,1.256823,1.256823
2032,1.269423,1.269423,1.269423,1.269423,1.269423,1.269423
2034,1.282149,1.282149,1.282149,1.282149,1.282149,1.282149
2036,1.295002,1.295002,1.295002,1.295002,1.295002,1.295002
2038,1.307985,1.307985,1.307985,1.307985,1.307985,1.307985
2040,1.307985,1.307985,1.307985,1.307985,1.307985,1.307985
2042,1.307985,1.307985,1.307985,1.307985,1.307985,1.307985
2044,1.307985,1.307985,1.307985,1.307985,1.307985,1.307985
2046,1.307985,1.307985,1.307985,1.307985,1.307985,1.307985
2048,1.307985,1.307985,1.307985,1.307985,1.307985,1.307985
2050,1.307985,1.307985,1.307985,1.307985,1.307985,1.307985
